L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,"IC50Dark,μM","IC50Dark,μM_clean","IC50Light,μM","IC50Light,μM_clean","λex,nm",Cell_line,"Time,h",DOI,Year
[c-]1ccccc1-c1nc2ccccc2[nH]1,[c-]1ccccc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1a,21 ± 2,21,"0,7 ± 0,1","0,7",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cn1c(-c2[c-]cccc2)nc2ccccc21,Cn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1b,"2,57 ± 0,03","2,57","0,48 ± 0,02","0,48",visible light,HeLa,2,10.1039/C9QI00811J,2019
FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1c,> 100,>100,"0,866 ± 0,009","0,866",visible light,HeLa,2,10.1039/C9QI00811J,2019
[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2a,> 50,>50,"2,64 ± 0,04","2,64",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2b,"3,5 ± 0,2","3,5","0,21 ± 0,02","0,21",visible light,HeLa,2,10.1039/C9QI00811J,2019
FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2c,> 50,>50,"1,26 ± 0,04","1,26",visible light,HeLa,2,10.1039/C9QI00811J,2019
[c-]1ccsc1-c1nc2ccccc2[nH]1,[c-]1ccsc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3a,"2,9 ± 0,2","2,9","1,4 ± 0,2","1,4",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cn1c(-c2[c-]ccs2)nc2ccccc21,Cn1c(-c2[c-]ccs2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3b,"1,1 ± 0,3","1,1","0,016 ± 0,006","0,016",visible light,HeLa,2,10.1039/C9QI00811J,2019
FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3c,13 ± 1,13,"0,64 ± 0,09","0,64",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccc(F)cc1F)c1ccccc1,[Cl-],,,1,"34,1 ± 0,7","34,1",,,,HT-29,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1cc(F)ccc1F)c1ccccc1,[Cl-],,,2,81 ± 1,81,,,,HT-29,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,C/C(=C/C(=O)c1cccc(F)c1)[N-]c1ccccc1,[Cl-],,,3,"5,1 ± 0,3","5,1",,,,HT-29,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,O=C1C=C([O-])C(=O)c2ccccc21,[Cl-],,,5,20 ± 1,20,,,,HT-29,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccc(F)cc1F)c1ccccc1,[Cl-],,,1,39 ± 2,39,,,,MCF-7,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1cc(F)ccc1F)c1ccccc1,[Cl-],,,2,149 ± 1,149,,,,MCF-7,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,C/C(=C/C(=O)c1cccc(F)c1)[N-]c1ccccc1,[Cl-],,,3,"11,0 ± 0,4",11,,,,MCF-7,120,10.1039/c2dt32104a,2012
Cc1c(C)c(C)[c-](C)c1C,O=C1C=C([O-])C(=O)c2ccccc21,[Cl-],,,5,"13,2 ± 0,2","13,2",,,,MCF-7,120,10.1039/c2dt32104a,2012
O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccccn2)nc1,,,1,"9,6 ± 0,5","9,6",,,,HeLa,48,10.1039/c0dt00501k,2011
O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1cnc2c(c1)ccc1cccnc12,,,2,"9,8 ± 0,7","9,8",,,,HeLa,48,10.1039/c0dt00501k,2011
O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,,,3,"6,0 ± 0,9",6,,,,HeLa,48,10.1039/c0dt00501k,2011
O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,,4,"4,0 ± 0,2",4,,,,HeLa,48,10.1039/c0dt00501k,2011
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,"9,7 ± 0,2","9,7",,,,A549,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,"1,8 ± 0,2","1,8",,,,A549,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,"20,8 ± 0,3","20,8",,,,A549R,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,"4,9 ± 0,3","4,9",,,,A549R,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,"11,6 ± 0,3","11,6",,,,A2780,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,"2,3 ± 0,1","2,3",,,,A2780,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,"15,6 ± 0,4","15,6",,,,MCF-7,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,"1,8 ± 0,3","1,8",,,,MCF-7,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,"8,5 ± 0,2","8,5",,,,HLF,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,"9,8 ± 0,2","9,8",,,,HLF,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,"7,4 ± 0,2","7,4",,,,LO2,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,"5,2 ± 0,1","5,2",,,,LO2,48,10.1016/j.jinorgbio.2022.111913,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,"1,2 ± 0,09","1,2",,,,A549,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,"1,0 ± 0,1",1,,,,A549,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,"1,3 ± 0,06","1,3",,,,A549,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,"1,3 ± 0,06","1,3",,,,HeLa,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,"0,9 ± 0,08","0,9",,,,HeLa,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,"1,0 ± 0,03",1,,,,HeLa,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,"2,5 ± 0,4","2,5",,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,"1,6 ± 0,09","1,6",,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,"1,1 ± 0,02","1,1",,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,"4,8 ± 1,2","4,8",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,"1,7 ± 1,0","1,7",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,"3,9 ± 0,6","3,9",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,"6,2 ± 0,1","6,2",,,,LO2,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir2,>200,>200,,,,LO2,48,10.1016/j.jinorgbio.2022.111946,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir3,>200,>200,,,,LO2,48,10.1016/j.jinorgbio.2022.111946,2022
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccccc1)c1ccccn1,[Cl-],,,Ir1a,108 ± 30,108,,,,NIH3T3,3,10.1016/j.jinorgbio.2022.111877,2022
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccccc1)c1cc(C(F)(F)F)ccn1,[Cl-],,,Ir2a,31 ± 4,31,,,,NIH3T3,3,10.1016/j.jinorgbio.2022.111877,2022
Cc1c(C)c(C)[c-](C)c1C,CN(C)c1ccnc(C(=O)[N-]c2ccccc2)c1,[Cl-],,,Ir3a,119 ± 3,119,,,,NIH3T3,3,10.1016/j.jinorgbio.2022.111877,2022
Cc1c(C)c(C)[c-](C)c1C,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc([N-]C(=O)c4ccccn4)cc3)cc1)c1c(C)cc(C)n1[B-]2(F)F,[Cl-],,,Ir1b,23 ± 2,23,,,,NIH3T3,3,10.1016/j.jinorgbio.2022.111877,2022
Cc1c(C)c(C)[c-](C)c1C,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc([N-]C(=O)c4cc(C(F)(F)F)ccn4)cc3)cc1)c1c(C)cc(C)n1[B-]2(F)F,[Cl-],,,Ir2b,67 ± 7,67,,,,NIH3T3,3,10.1016/j.jinorgbio.2022.111877,2022
Cc1c(C)c(C)[c-](C)c1C,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc([N-]C(=O)c4cc(N(C)C)ccn4)cc3)cc1)c1c(C)cc(C)n1[B-]2(F)F,[Cl-],,,Ir3b,28 ± 2,28,,,,NIH3T3,3,10.1016/j.jinorgbio.2022.111877,2022
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(O)c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,,[Ir(dfpp)2(picCOOH)]+,"84,84 ± 0,02","84,84",,,,SP2,19,10.1016/j.jinorgbio.2012.11.001,2013
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(O)c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,,[Ir(dfpp)2(picCOOH)]+,"87,97 ± 0,01","87,97",,,,CHO,19,10.1016/j.jinorgbio.2012.11.001,2013
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)OC(=S)[S-],,,Ir1,"11,0 ± 0,4",11,,,,A549,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOC(=S)[S-],,,Ir2,"24,6 ± 0,7","24,6",,,,A549,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,S=C([S-])N1CCOCC1,,,Ir3,"17,8 ± 0,3","17,8",,,,A549,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCN(CC)C(=S)[S-],,,Ir4,"25,4 ± 0,5","25,4",,,,A549,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)OC(=S)[S-],,,Ir1,"18,2 ± 0,7","18,2",,,,HeLa,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOC(=S)[S-],,,Ir2,"22,3 ± 0,4","22,3",,,,HeLa,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,S=C([S-])N1CCOCC1,,,Ir3,"21,5 ± 0,4","21,5",,,,HeLa,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCN(CC)C(=S)[S-],,,Ir4,"16,3 ± 0,6","16,3",,,,HeLa,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)OC(=S)[S-],,,Ir1,"15,7 ± 1,3","15,7",,,,BEAS-2B,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOC(=S)[S-],,,Ir2,"28,0 ± 0,4",28,,,,BEAS-2B,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,S=C([S-])N1CCOCC1,,,Ir3,"67,6 ± 1,0","67,6",,,,BEAS-2B,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCN(CC)C(=S)[S-],,,Ir4,"17,6 ± 0,9","17,6",,,,BEAS-2B,24,10.1016/j.jinorgbio.2022.111855,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,A549,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,>200,>200,,,,A549,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,HepG2,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,>200,>200,,,,HepG2,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,"42,3 ± 6,7","42,3",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,"77,7 ± 8,5","77,7",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,>100,>100,,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,"44,5 ± 2,0","44,5",,,,HeLa,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,"62,5 ± 8,9","62,5",,,,HeLa,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,LO2,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir2,>200,>200,,,,LO2,48,10.1016/j.jinorgbio.2022.111868,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,"5,9 ± 0,5","5,9",,,,B16,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"8,6 ± 0,7","8,6",,,,B16,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,"10,6 ± 0,8","10,6",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"9,7 ± 0,2","9,7",,,,SGC-7901,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,"21,0 ± 0,4",21,,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"16,4 ± 0,7","16,4",,,,BEL-7402,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,"90,8 ± 2,2","90,8",,,,HepG2,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"21,7 ± 3,2","21,7",,,,HepG2,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,A549,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"28,8 ± 2,6","28,8",,,,A549,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,HeLa,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"22,8 ± 1,6","22,8",,,,HeLa,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir1,>200,>200,,,,NIH3T3,48,10.1016/j.jinorgbio.2022.111820,2022
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,O=[N+]([O-])c1ccccc1-c1nc2c3cccnc3c3ncccc3c2[nH]1,,F[P-](F)(F)(F)(F)F,Ir2,"12,5 ± 1,0","12,5",,,,NIH3T3,48,10.1016/j.jinorgbio.2022.111820,2022
