Name,LigandSmiles,Metal,classification
BACFIY,CC(C)(C)c1cccc(C(C)(C)C)c1O.CC(C)c1cccc(C(C)C)c1N.CNC.CNC,Nb,4.0
BACFOE,CC(C)(C)c1cccc(C(C)(C)C)c1O.CNC.CNC.Cc1cccc(C)c1N,Nb,4.0
BACGAR,CC(C)(C)c1cccc(C(C)(C)C)c1O.CNC.CNC.Cc1ccccc1N,Nb,4.0
BACGEV,CC(C)(C)c1cccc(C(C)(C)C)c1O.CC(C)c1cccc(C(C)C)c1N.CNC.OC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F,Nb,5.0
BACGOF,C.C.CC(C)(C)c1cccc(C(C)(C)C)c1O.Cc1cccc(C)c1N,Nb,4.0
BACGUL,C.C.CC(C)(C)c1cccc(C(C)(C)C)c1O.Cc1ccccc1N,Nb,4.0
BAFGEU,B1Oc2ccccc2O1.B1Oc2ccccc2O1.c1cccc1.c1cccc1,Nb,12.0
BAMSOZ,CCO(CC)[Na]1234567(Fc8c(F)c(F)c(F)c(F)c8B(c8c(F)c(F)c(F)c(F)c8F)(P1)c1c(F)c(F)c(F)c(F)c1F2)c1c3(C)c4c5(NCC(C)(C)C)c6c17C.Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1,Nb,4.0
BAMSUF,Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1.Cc1cc(C)cc(NCC(C)(C)C)c1.OB(c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,Nb,4.0
BEBPUT,C[Si](C)(C)c1cccc1.C[Si](C)(C)c1cccc1.[H]B1([H])C2CCCC1CCC2,Nb,12.0
BEDCAO,CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC.F.O,Nb,6.0
BEJTIT,Cl.Cl.c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,Nb,6.0
BEKWUL,CC(C)(C)N.CC(C)NC(=Nc1ccc(C(C)(C)C)cc1)NC(C)C.Cc1ccccc1.Cc1ccccc1,Nb,5.0
BEKXAS,CC(C)(C)N.COc1ccc(N=C(NC(C)C)NC(C)C)cc1.Cc1ccccc1.Cc1ccccc1,Nb,5.0
BEMLEL,Cc1cc(C)n(C(CO)n2nc(C)cc2C)n1.Cl.Cl.O,Nb,6.0
BEVYOU,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.Cc1cc(C)c(P)c(C)c1.c1ccncc1,Nb,6.0
BEVZAH,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.C[Si](C)(C)C.c1ccncc1,Nb,6.0
BEWDOA,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.Cl,Nb,5.0
BEWKUN,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.Cc1cc(C)c(N)c(C)c1.c1ccncc1,Nb,6.0
BEWLAU,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.Cc1cc(C)c(S)c(C)c1.c1ccncc1,Nb,6.0
BEWLEY,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.Cc1cc(C)cc(C)c1,Nb,5.0
BEWLIC,CC(C)(C)N[Li](Oc1c(N2c3ccccc3N(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)C2C[Si](C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C)n1ccccc1.C[Si](C)(C)C,Nb,5.0
BEWLOI,CC(C)(C)N.CC(C)(C)c1cc(N2CN(c3cc(C(C)(C)C)cc(C(C)(C)C)c3O)c3ccccc32)c(O)c(C(C)(C)C)c1.Cl.c1ccncc1,Nb,6.0
BIDHON,CC(C)(C)[NH+]=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1[O-].CCO.CCO.Cl.Cl.Cl,Nb,6.0
BINVUP,F.F.F.O.[F-].[F-],Nb,6.0
BINWAW,F.F.F.F.F.O.O,Nb,7.0
BOCHEH,C=CCCC(C)(C)c1cccc1.C=CCCC(C)(C)c1cccc1.Cl.Cl,Nb,12.0
BOMWEG,O=O.O=O.Oc1cccc2cccnc12.[O-]c1cccc2cccnc12,Nb,8.0
BOTXIU,C#O.CC=C(C)C(=O)O.C[Si](C)(C)c1cccc1.C[Si](C)(C)c1cccc1,Nb,12.0
BOYYIX,Cc1ccccc1c1ccccc1C.c1cccc1.c1cccc1,Nb,12.0
BUHHOB,FC(F)(F)C1=C(C(F)(F)F)C2C=CC1C2.O.c1cccc1.c1cccc1,Nb,12.0
BZCPNB,Cc1ccccc1.Cc1ccccc1.c1cccc1.c1cccc1,Nb,12.0
CAHJIE,CCN(CC)C(=S)S.CCN(CC)C(=S)S.CCN(CC)C(=S)S.Cc1ccc(N)cc1,Nb,7.0
CAHQIN,C#O.C(#Cc1ccccc1)c1ccccc1.CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N,Nb,6.0
CAHQOT,C#NC(C)(C)C.CC#Cc1ccccc1.CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N,Nb,6.0
CAMREQ,CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.CC(C)(C)O,Nb,5.0
CANBEY,Br.Br.Br.C1CCSC1.C1CCSC1.S,Nb,6.0
CAPQOZ,F.O.[F-].c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,Nb,7.0
CATZED,C1CN=C2NCCCN2C1.Cl.Cl.Cl.Cl,Nb,6.0
CATZIH,C1CN=C2NCCCN2C1.CC#N.Cl.Cl.Cl.Cl,Nb,7.0
CATZON,C1CN=C2NCCCN2C1.C1CN=C2NCCCN2C1.Cl.Cl.Cl,Nb,7.0
CAVJOZ,C.C.C.Cl.Cl,Nb,5.0
CAXYIK,Cc1cccc(C)c1N.Cc1cccc(C)c1N[Si](C)(C)c1cccc1.Cl,Nb,8.0
CEDFUM,CC#N.Cl.Cl.Cl.Cl.O,Nb,6.0
CEHQUB,CC(C)(C)N.CC(C)(C)N[Si](C)(C)c1cccc1.Cl.Cl,Nb,8.0
CENNIT,CN(C)CCN(C)C.CN(C)N.CN(C)N.Cl.Cl,Nb,7.0
CENNUF,CN(C)CCN(C)C.Cl.Cl.NN1CCCCC1.NN1CCCCC1,Nb,7.0
CENPER,Cl.Cl.NN1CCCCC1.NN1CCCCC1.NN1CCCCC1,Nb,7.0
