Name,LigandSmiles,Metal,classification
PUMBOO,CC(C)C(C=Cc1ccccc1)=NC(C)(C)O.Cc1c(C)c(C)c(C)c1C.N=O,W,9.0
PUMJIQ,C#NCCN(C(=O)c1ccccc1)C(=O)c1ccccc1.C#O.C#O.C#O.C#O.C#O,W,6.0
PUNCEG,Cc1cc(C)cc(O)c1.Fc1c(F)c(F)c(NCCN(CCNc2c(F)c(F)c(F)c(F)c2F)CCNc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,W,5.0
PUNCIK,C[Si](C)(C)C.Fc1c(F)c(F)c(NCCN(CCNc2c(F)c(F)c(F)c(F)c2F)CCNc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,W,5.0
PUNCOQ,Cc1cccc(C)c1.Fc1c(F)c(F)c(NCCN(CCNc2c(F)c(F)c(F)c(F)c2F)CCNc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.O,W,6.0
PUNCUW,C#O.C#O.C#O.C#O.C#O.COCC1234[BH]567[BH]89%10[BH]%11%12%13[BH]85%14[BH]%1158[BH]%12%11%15[BH]9%13%12[BH]%1061[BH]%12%112C5%153(c1ccccc1)[BH]%14784,W,6.0
PUNFAF,C#O.C#O.C#O.COC(=O)C=CC(=O)OC.c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,W,7.0
PUNPET,C#O.C#O.CC=C(O)c1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,7.0
PUPCOT,C#O.C#O.C#O.C#O.C#O.CCOCC1=CC=C(C2=CC=CS2)S1,W,6.0
PUPDAF,Cl.Cl.N=P(c1ccccc1)(c1ccccc1)c1ccccc1.N=[SH]N=[SH]N.c1ccncc1,W,6.0
PUQLIW,C#O.C#O.C#O.C#O.C#O.COCC=C1C=C(c2ccccc2)OC2=C1CCc1ccccc12,W,6.0
PUQREA,C#O.CC=Cc1ccccc1.Cc1c(C)c(C)c(C)c1C.N=O,W,9.0
PURGOY,C#O.C#O.C#O.C#O.C#O.CC[N+]1=CC(=C(C)C)C=CC1,W,6.0
PUTRAX,C.C.C[Si](C)(c1cccc1)c1cccc1,W,12.0
PUTREB,C.C.CC(C)(c1cccc1)C(C)(C)c1cccc1,W,12.0
PUTYUY,C#O.C#O.C#O.C#O.C#O.CCOCC1=C(N2CCOCC2)CCCC(=O)C=C1c1ccccc1,W,6.0
PUTZOU,CC(C)(C)c1cccc(CN(Cc2ccccn2)Cc2cccc(C(C)(C)C)c2O)c1O.O.O,W,6.0
PUVMUP,C#O.C#O.C#O.C#O.C#O.CN(C)Cc1ccccc1[Sb](O)c1ccccc1CN(C)C,W,6.0
PUVTAC,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)C(P1N=C(C2=CC=CS2)N=C1C1=CC=CS1)[Si](C)(C)C,W,6.0
PUVTEG,C#O.C#O.C#O.C#O.C#O.CN(C)C1=NP(C([Si](C)(C)C)[Si](C)(C)C)C(C2=CC=CS2)=N1,W,6.0
PUWKUN,CC(C)(C)C.Cc1c(C)c(C)c(C)c1C.N=O.[H]CC(C)(C)C,W,9.0
PUWLAU,C[Si](C)(C)C.C[Si](C)(C)C.Cc1c(C)c(C)c(C)c1C.N=O,W,8.0
PUZQEI,C#O.C#O.C#O.C#O.CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3c4cccnc4c4ncccc4c3nc12)(C(C)C)C(C)C,W,6.0
PYBRPW,Br.Br.Br.Br.c1ccncc1.c1ccncc1,W,6.0
QABFIJ,C#O.C#O.C#O.C#O.C#O.C=CC(CN1CCOCC1)=C(C#Cc1ccccc1)OCC,W,6.0
QABFOP,C#O.C#O.C#O.C#O.C#O.CC=C(CN(C)C)C(C)=O,W,6.0
QABLOW,C#O.C#O.C#O.C#O.C#O.CCOC(=O)C12C3P1C1(C)C3(C)C(C)=C(C)C21C,W,6.0
QABLUC,C#O.C#O.C#O.C#O.C#O.CCOC(=O)C12P3C4(C)C1(C)C(C)=C(C)C4(C)C32c1ccccc1,W,6.0
QABMAJ,C#O.C#O.C#O.C#O.C#O.CCOC(=O)C1C2P(O)C3(C)C1(C)C(C)=C(C)C23C,W,6.0
QABMEN,C#O.C#O.C#O.C#O.C#O.CCOC(=O)C12C(c3ccccc3)P(O)C3(C)C(C)=C(C)C1(C)C32C,W,6.0
QABMIR,C#O.C#O.C#O.C#O.C#O.COC(=O)C1P(O)C2(C)C(C)=C(C)C3(C)C1(C(=O)OC)C23C,W,6.0
QABWAR,C#O.C#O.C#O.COP(OC)OC.COP(OC)OC.I.I,W,7.0
QACBEB,C#O.C#O.CN1CCN(C)CCN(C)CC1.Cc1ccccc1,W,6.0
QACCIH,C#O.CC#CC(C)CCCCI.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.I,W,7.0
QACCON,C#O.CC(C#CC(C)C(O)c1ccccc1)Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.I,W,7.0
QACCUT,C#O.CC#CC.CC(N)c1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,7.0
QAFTAW,C#O.C#O.C#O.C#O.c1ccc(c2ccnc3c2ccc2c(c4ccccc4)ccnc23)cc1,W,6.0
QAFTEA,C#O.C#O.C#O.C#O.Cc1cc(c2ccccc2)c2ccc3c(c4ccccc4)cc(C)nc3c2n1,W,6.0
QAFTIE,C#O.C#O.C#O.C#O.Cc1ccnc2c1ccc1c(C)ccnc12,W,6.0
QAGJOY,O.O.O=C(O)CC(O)C(=O)[O-].O=C(O)CC([O-])C(=O)O,W,6.0
QAGSOH,C#O.C#O.C#O.C#O.O=C1c2cccc3cccc(c23)N1P(c1ccccc1)c1ccccc1,W,6.0
QAHCOR,C#O.C#O.C#O.C#O.C#O.CCN(CC)C1=C(C(=O)OC)P(C([Si](C)(C)C)[Si](C)(C)C)C1=O,W,6.0
QAHCUX,C#O.C#O.C#O.C#O.C#O.CCN(CC)C1(C(=O)OC)C(C(=O)OC)P1C([Si](C)(C)C)[Si](C)(C)C,W,6.0
QAHDAE,C#O.C#O.C#O.C#O.C#O.COC(=O)C12CC(C)=C(C)CC1(C(=O)OC)P2C([Si](C)(C)C)[Si](C)(C)C,W,6.0
QAHDEI,C#O.C#O.C#O.C#O.C#O.COC(=O)C1=C(C(=O)OC)P(C([Si](C)(C)C)[Si](C)(C)C)N=C1N(C)C,W,6.0
QAHDIM,C#O.C#O.C#O.C#O.C#O.COC(=O)C1=C(C(=O)OC)P1C([Si](C)(C)C)[Si](C)(C)C,W,6.0
QAHKUF,C#O.C#O.C#O.CC(=O)N1C([SeH])C(C)(C)SC1(C)C.c1cccc1,W,9.0
QAHPAS,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2)c(C)c1.Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2)c(C)c1.Cl.Cl.N=O.N=O,W,6.0
QAHYEF,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2)c(C)c1.Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2)c(C)c1.N=O.N=O.[H][BH2][H],W,6.0
QALBUE,CNC.CNC.CNC.Cc1ccccc1,W,4.0
QALCEP,CC(O)(C(F)(F)F)C(F)(F)F.CC(O)(C(F)(F)F)C(F)(F)F.CNC.CNC.Cc1ccccc1,W,5.0
QALCUF,CC(C)(C)O[Si](O)(OC(C)(C)C)OC(C)(C)C.CC(C)(C)O[Si](O)(OC(C)(C)C)OC(C)(C)C.CC(O)(C(F)(F)F)C(F)(F)F.CNC.Cc1ccccc1,W,5.0
QALDAM,CNC.Cc1ccccc1.O[Si](c1ccccc1)(c1ccccc1)c1ccccc1.O[Si](c1ccccc1)(c1ccccc1)c1ccccc1.O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,W,5.0
QANTII,C#O.C#O.C#O.C#O.C(=Nc1ccccc1P(c1ccccc1)c1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1,W,6.0
QAQWIO,C#O.C#O.C#O.CCCc1cc(C)c([Si](c2ccccc2)(c2pc(CCC)c(CCC)cc2C)c2pc(CCC)c(CCC)cc2C)pc1CCC,W,6.0
QAQWOU,C#O.C#O.C#O.CCCc1cc(C)c([Si](C)(C)C([Si](C)(C)c2pc(CCC)c(CCC)cc2C)[Si](C)(C)c2pc(CCC)c(CCC)cc2C)pc1CCC,W,6.0
QAVXAM,C#O.C#O.C[As]=C(N(C)C)N(C)C.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,6.0
QAWZOG,C1CCOC1.Cc1cc(C)c(N)c(C)c1.Cl.Cl.Cl.Cl,W,6.0
QAWZUM,C1CCOC1.Cc1cccc(C)c1N.Cl.Cl.Cl.Cl,W,6.0
QAXBAV,C1CCOC1.Cl.Cl.Cl.Cl.Nc1ccccc1,W,6.0
QAXBEZ,C1CCOC1.Cl.Cl.Cl.Cl.Nc1c(F)cccc1F,W,6.0
QAXBID,C1CCOC1.Cl.Cl.Cl.Cl.Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,W,6.0
QAXBOJ,C1CCOC1.COc1ccc(N)cc1.Cl.Cl.Cl.Cl,W,6.0
QAXBUP,C1CCOC1.Cc1cc(C)cc(N)c1.Cl.Cl.Cl.Cl,W,6.0
QAXCAW,C.C.C.Cc1cccc(C)c1N.Cl,W,5.0
QAXCEA,C.C.C.Cl.Nc1ccccc1,W,5.0
QAXCIE,C.C.C.Cl.Nc1c(F)cccc1F,W,5.0
QAXCOK,C.C.C.COc1ccc(N)cc1.Cl,W,5.0
QAXFAZ,C.C.C.Cc1cc(C)cc(N)c1.Cl,W,5.0
QAXXIY,CCC.Cc1ccc(Nc2ccc(C)cc2C(O)(C(F)(F)F)C(F)(F)F)c(C(O)(C(F)(F)F)C(F)(F)F)c1.O,W,5.0
QAXXOE,CC(C)(C)O.CCC.Cc1ccc(Nc2ccc(C)cc2C(O)(C(F)(F)F)C(F)(F)F)c(C(O)(C(F)(F)F)C(F)(F)F)c1,W,5.0
QAYJIK,C#O.C#O.C#O.C#O.C#O.CN(C)C(=S)C(C)(C)C,W,6.0
QAYRIV,C#O.C#O.C#O.C#O.C#O.CC=C(C(COCC)=C(CC)N1CCCC1)c1ccccc1,W,6.0
QAYVOF,C#O.C#O.C#O.C#O.C#O.CN(C)CC=C(C1=C(N2CCOCC2)CC(C)(C)CC1=O)c1ccccc1,W,6.0
QAYXUJ,CC(C)(O)Cc1cccc(CC(C)(C)O)n1.C[Si](C)(C)C.C[Si](C)(C)C.O,W,6.0
QAZBIG,C#O.C#O.C#O.C#O.C#O.CCOCC=C(C1=C(N(CC)CC)c2ccccc2C1)c1ccccc1,W,6.0
QAZBOM,C#O.C#O.C#O.C#O.COC1=NCCC1.COC1=NCCC1,W,6.0
QAZDUU,C#O.C#O.C#O.C#O.C#O.O=C1C=CC(=O)[N-]1,W,6.0
QAZGAD,C#O.C#O.C#O.C#O.C#O.CCOCC=C(C=C(c1ccccc1)N(CC)CC)c1ccccc1,W,6.0
QAZGIL,C#O.C#O.C#O.C#O.C#O.CCOCC=C(c1ccccc1)N1CCCCC1=O,W,6.0
QAZGOR,C#O.C#O.C#O.C#O.CCOCC1=C(c2ccccc2)N(C(C)C)C=CC1c1ccccc1,W,5.0
QAZJIN,O=C(O)C(=O)O.O=C(O)C(=O)O.[OH-].[OH-],W,6.0
QAZJUZ,Cl.Cl.N=O.N=O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,W,6.0
QAZKUB,C#O.C#O.C#O.C#O.C#O.CN(C)C(C=Cc1ccccc1)=NCc1ccccc1,W,6.0
QAZWUJ,C#O.C#O.C#O.C#O.C#O.COC1=C2CCCCC2=CCO1,W,6.0
QEBQEX,C#O.C#O.C#O.C#O.C#O.CCOCC=C(c1ccccc1)N(CC)C(C)C,W,6.0
QEBSAV,C#O.C#O.C#O.C#O.C#O.CCOCC#Cc1ccccc1,W,6.0
QEBSEZ,C#O.C#O.C#O.C#O.C#O.CCN(CC)C(=CCc1ccccc1)c1ccccc1,W,6.0
QEBTIE,C#O.C#O.C#O.C#O.C#O.CCOCC=CC=C(c1ccccc1)N(CC)CC,W,6.0
QEBTOK,C#O.C#O.C#O.C#O.C#O.CCOC1=CC(=S)C2CCCCC12,W,6.0
QEBTUQ,C#O.C#O.C#O.C#O.C#O.CN1CC=C(c2ccccc2)C2=C1CC(C)(C)CC2=O,W,6.0
QEBWON,C#O.C#O.C#O.C#O.C#O.C=C=C(C1=CCCC1)N(CC=C)C(C)c1ccccc1,W,6.0
QECGAG,C#O.C#O.C#O.C#O.C#O.CN(C)C1=NP(C([Si](C)(C)C)[Si](C)(C)C)C=C1c1ccccc1,W,6.0
QECGEK,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)OPC([Si](C)(C)C)[Si](C)(C)C,W,6.0
QEDZEE,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)C1=CC([Si](C)(C)C)([Si](C)(C)C)C=C1[Se]C1=CC([Si](C)(C)C)([Si](C)(C)C)C=C1[Si](C)(C)C,W,6.0
QEFDUE,C#O.C#O.C#O.C#O.C#O.CC(C)NCC1=C(c2ccccc2)C2Cc3ccccc3C12O[Si](C)(C)C,W,6.0
QEGKOG,C#O.C#O.C#O.C#O.C#O.CCOC1=CC(C(C(C)=O)=C(C)NN(C)C)=C2CCC(C(C)(C)C)CC12,W,6.0
QEGKUM,C#O.C#O.C#O.C#O.C#O.CCOCC=C(c1ccccc1)C(C)(C)c1cc[n+](CC)cc1,W,6.0
QEGLAT,C#O.C#O.C#O.C#O.C#O.CC=C(CN1CCOCC1)C(C)=O,W,6.0
QEGLIB,C#O.C#O.C#O.C#O.C#O.CCOCC=CC=C(C1=CCCCC1)N(CC)CC,W,6.0
QEGZOU,C#O.C#O.C#O.C#O.C#O.c1ccc(C2=Pc3ccccc3O2)cc1,W,6.0
QEGZUA,C#O.C#O.C#O.C#O.C#O.Clc1ccc(C2=Pc3ccccc3O2)cc1,W,6.0
QEHBAJ,Brc1ccc(C2=Pc3ccccc3O2)cc1.C#O.C#O.C#O.C#O.C#O,W,6.0
QEHBEN,C#O.C#O.C#O.C#O.C#O.Cc1ccc(C2=Pc3ccccc3O2)cc1,W,6.0
QEHBIR,C#O.C#O.C#O.C#O.C#O.COc1ccc(C2=Pc3ccccc3O2)cc1,W,6.0
QEHKEV,CC(C)(C)P(Pc1cccc1)C(C)(C)C.c1cccc1,W,11.0
QEHKIZ,CCN(CC)P(Pc1cccc1)N(CC)CC.c1cccc1,W,11.0
QEHROK,C#O.C#O.C#O.C#O.C#O.CCOCC1=CC2=C(S1)C1=C(C=C(C(=O)OCC)S1)S2,W,6.0
QEHTUW,C#O.C#O.C#O.Cc1ccccc1,W,9.0
QEHVUU,C#O.C#O.Cc1c(C)c(C)c(C)c1C.[AsH]1[AsH][AsH]1,W,10.0
QEJPAA,C#O.C#O.C#O.I.OC(=NCc1ccccn1)c1ccc(Br)cc1,W,7.0
QEJPOO,C#O.C#O.CP(C)C.CP(C)C.O=C(NCc1ccccn1)c1ccccc1,W,7.0
QEJPUU,C#O.C#O.C#O.I.OC(=NCc1ccccn1)c1ccccc1,W,7.0
QEJZAG,C#O.C(=CP(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1.CC#CC.CC#CC.I,W,8.0
QEMMIH,C#O.C#O.CC=C(C)[Si](C)(C)C.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,6.0
QEMMON,C#O.C#O.CC(C)=C(C)[Si](C)(C)C.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,6.0
QENDAP,C#O.C#O.C#O.C#O.C#O.C1=C(c2ccccc2)N(c2ccccc2)C(c2ccccc2)=NC1,W,6.0
QENDIX,C#O.C#O.C#O.C#O.C#O.[Se]=C1C=C(c2ccccc2)N(c2ccccc2)C(c2ccccc2)=N1,W,6.0
QENVAJ,[SeH-].[SeH-].[SeH-].[SeH-],W,4.0
QENVIR,O.[Se-][Se][Se][Se-].[SeH][Se][Se][SeH],W,5.0
QENWUB,C#O.C#O.C#O.C#O.C#O.CCOCC1=C(c2ccccc2)C23CCCCC2C(OCC)=CC13OC(C)=O,W,6.0
QENXIQ,C#O.C#O.C#O.C#O.C#O.CCOC1=CC(C(C(C)=O)C(C)=Nc2ccc(C)cc2)=C2CCCCC12,W,6.0
QENXOW,C#O.C#O.C#O.C#O.C#O.CCOC1=CC(C(C(C)=[NH+]C(C)(C)C)=C([O-])c2ccccc2)=C2CCCCC12,W,6.0
QEPDEU,C#O.C#O.CC([S-])=C(C)S.CC([S-])=C(C)S,W,6.0
QEPDUK,CC([S-])=C(C)S.CC([S-])=C(C)S.CC([S-])=C(C)S,W,6.0
QEQJAX,C#O.C#O.C#O.C#O.C#O.CC1=C(C)C(C)(P2N=C(N3CCCCC3)C(N3CCCCC3)=N2)C(C)=C1C,W,6.0
QEQJIF,C#O.C#O.C#O.C#O.C#O.COC(=O)C12P3N=C(N4CCCCC4)C4(C)C1(C)C(C)=C(C)C4(C)C32C(=O)OC,W,6.0
QERKIH,C#O.C#O.C#O.C#O.CC1=C(C)CP(c2ccccc2)C1.CC1=C(C)CP(c2ccccc2)C1,W,6.0
QERLAA,C#O.C#O.C#O.C#O.C#O.CCOC=C(C(=CC(=O)OC)c1ccccc1)C(C)=[N+]1CCOCC1,W,6.0
QERLEE,C#O.C#O.C#O.C#O.C#O.CCOC(C)=C(C=[N+]1CCOCC1)C(=CC(=O)OC)c1ccccc1,W,6.0
QERMAB,C#O.C#O.Cc1cc(C)c(N2C=C(Cl)N(c3c(C)cc(C)cc3C)P2)c(C)c1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(c2ccccn2)nc1,W,6.0
QESYOC,C#O.C#O.C#O.C#O.CCOCc1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,W,6.0
QESYUI,C#O.C#O.C#O.C#O.Cc1ccc(CN)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,W,6.0
QEVROY,Br.Br.C#O.CC#CC.c1ccc(P(c2ccccc2)C2CCCCC2)cc1.c1ccc(P(c2ccccc2)C2CCCCC2)cc1,W,7.0
QEWYAS,C#O.C#O.C#O.O=C(O)c1cccc1,W,8.0
QEWYIA,C#O.C#O.C1N2CN3CN1CP(C2)C3.c1cccc1,W,8.0
QEYGUW,C#O.CC#Cc1ccccc1.CCOC(=O)C(C)C(=O)OCC.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,7.0
QEYHIL,C#O.CC#Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,7.0
QEYHUX,C.C#O.CC#Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,W,7.0
QEZDII,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.OCCO.OCCO,W,6.0
QEZKOV,C#O.C#O.Cc1c(C)c(C)c(C)c1C.c1ccc([SiH](c2ccccc2)n2ccccc2)cc1,W,8.0
QEZKUB,C#O.C#O.Cc1c(C)c(C)c(C)c1C.c1ccc([SiH2]c2ccccc2)cc1.c1ccncc1,W,9.0
QEZSEU,C#O.C#O.C#O.C[PH](c1ccccc1)(c1ccccc1)c1cccc1,W,8.0
QICCAI,C#O.C#O.C#O.C#O.C#O.N#CC(C#N)=C(C#N)C#N,W,6.0
QIDYIN,CC(C)(C)C.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.O.c1ccc(-c2ccc(-c3ccccc3)[nH]2)cc1,W,4.0
QIDYOT,CC(C)(C)C.CP(C)c1ccccc1.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.Fc1c(F)c(F)c(Nc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.O,W,5.0
QIDYUZ,CC(C)(C)[Si](O)(C(C)(C)C)C(C)(C)C.CCC.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.O,W,5.0
QIDZAG,C.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.O,W,4.0
QIFRIG,OCCO.OCCO.Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,W,6.0
QIFROM,CC(C)(O)C(C)(C)O.CC(C)(O)C(C)(C)O.Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,W,6.0
QIFRUS,CC(C)(O)C(C)(C)O.CC(C)(O)C(C)(C)O.Oc1ccc2cc(Br)ccc2c1-c1c(O)ccc2cc(Br)ccc12,W,6.0
QIFSAZ,CC(C)(O)C(C)(C)O.CC(C)(O)C(C)(C)O.Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12.Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,W,6.0
QIHCER,C#O.C#O.C#O.C#O.C#O.CP1C2C3CCC(C3)C21,W,6.0
QIHLIC,C#O.CCN(C)CC.Cc1c(C)c(C)c(C)c1C.N#CC(S)=C(S)C#N,W,9.0
QIHQON,CCN(C)CC.Cc1c(C)c(C)c(C)c1C.Cl.N#CC(S)=C(S)C#N,W,9.0
QIHWIN,CCN(C)CC.Cc1c(C)c(C)c(C)c1C.Cl.Sc1ccccc1S,W,9.0
QIJVEK,C#O.C#O.C#O.C#O.C#O.c1ccc(c2ccncc2)cc1,W,6.0
QIMQAI,C1CCOC1.C1CCOC1.CC(O)(C(F)(F)F)C(F)(F)F.CC(O)(C(F)(F)F)C(F)(F)F.CC(O)(C(F)(F)F)C(F)(F)F.Cc1ccccc1,W,6.0
QIMQEM,CC(C)(C)O.Cc1ccccc1.OC(CN1C=CN(CC(O)(C(F)(F)F)C(F)(F)F)C1)(C(F)(F)F)C(F)(F)F,W,5.0
QIMTEP,Br.Br.Br.COCCOC.Cc1c(C(C)C)cc(C(C)C)cc1C(C)C,W,6.0
QIMTIT,CC(C)(C)O[Si](O)(OC(C)(C)C)OC(C)(C)C.CO1CCO(C)[Li]1(O)Br[Li]1(O(C(C)(C)C)[Si](O)(OC(C)(C)C)OC(C)(C)C)O[Si](OC(C)(C)C)(OC(C)(C)C)O1C(C)(C)C.O,W,5.0
QIMTOZ,Br.Br.C#O.C#O.C#O.C#O.[Br-],W,7.0
QIMTUF,C#O.C#O.C#O.C#O.C#O.CC=O,W,6.0
QIMVAN,C#O.C#O.C#O.C#O.C#O.COc1ccc([C-]=O)cc1,W,6.0
QIMVER,C#O.C#O.C#O.C#O.C#O.CC(C)Oc1ccccc1,W,6.0
QIMVIV,Br.Br.Br.COCCOC.O,W,6.0
QINLEI,CC(C)(C)O.Cc1ccccc1.OC(CN1C=CN(CC(O)(C(F)(F)F)C(F)(F)F)C1)(C(F)(F)F)C(F)(F)F.c1ccncc1,W,6.0
QINLUY,CC(C)(C)O[Si](O)(OC(C)(C)C)OC(C)(C)C.CC(O)(C(F)(F)F)C(F)(F)F.CC(O)(C(F)(F)F)C(F)(F)F.COCCOC.Cc1ccccc1,W,6.0
QINMAF,CC(C)(C)O.CC(C)(C)O.CC(O)(C(F)(F)F)C(F)(F)F.CC(O)(C(F)(F)F)C(F)(F)F.Cc1ccccc1,W,5.0
QINNIO,CC(C)(C)O.CC(C)(C)O.CC(C)(C)O.Cc1ccccc1.c1cnc2c(c1)ccc1cccnc12,W,6.0
QINNUA,CC(C)(O)C(F)(F)F.CC(C)(O)C(F)(F)F.CC(C)(O)C(F)(F)F.COCCOC.Cc1ccccc1,W,6.0
QINPAI,C1CCOC1.C1CCOC1.CC(C)(C)O.CC(O)(C(F)(F)F)C(F)(F)F.CC(O)(C(F)(F)F)C(F)(F)F.Cc1ccccc1,W,6.0
QIRMEJ,C#O.CP(C)C.CP(C)C.CP(C)C.N=O.[H][BH3],W,6.0
QIRMIN,C#O.CP(C)C.CP(C)C.CP(C)C.N=O,W,5.0
QIRMOT,C#O.CP(C)C.CP(C)C.CP(C)C.N=O.O=CO,W,6.0
QIRNEM,C1CCOC1.CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.Cl.Cl,W,6.0
QIRNIQ,CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.p1pp1,W,6.0
QIRNOW,C1CCOC1.CC(C)c1cccc(C(C)C)c1O.CC(C)c1cccc(C(C)C)c1O.Cl.p1pp1,W,7.0
QIRWIX,CC(C)(C)N.CC(C)(C)N.CC(C)(C)N.[BH]123[BH]45[CH]67[CH]89[BH]1%10[BH]21%11[BH]342[BH]563[BH]784[BH]%1091[BH]2%1134,W,8.0
QIRWOD,CC(C)(C)N.CC(C)(C)N.Cc1cccc(C)c1O.[BH]123[BH]45[CH]67[CH]89[BH]1%10[BH]21%11[BH]342[BH]563[BH]784[BH]%1091[BH]2%1134,W,8.0
QIRWUJ,CC(=N)NC(C)(C)C.CC(C)(C)N.CC(C)(C)N.[BH]123[BH]45[CH]67[CH]89[BH]1%10[BH]21%11[BH]342[BH]563[BH]784[BH]%1091[BH]2%1134,W,8.0
QISDAX,C#Cc1ccccc1.C#Cc1ccccc1.C#O.CC#N.I.I,W,8.0
QITRIV,Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.I.I.N=O,W,6.0
QIXHEK,Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.S.S.S,W,6.0
QIXHIO,S.S.S.c1cnn([BH](n2cccn2)n2cccn2)c1,W,6.0
QIYQOE,O.O.O=C(O)CC(O)C(=O)[O-].O=C([O-])CC(O)C(=O)[O-],W,6.0
QIZTAV,O.O=C(c1ccccc1)N(O)c1ccccc1.O=C(c1ccccc1)N(O)c1ccccc1.OO,W,7.0
QIZTEZ,Cc1ccccc1N(O)C(=O)c1ccccc1.Cc1ccccc1N(O)C(=O)c1ccccc1.O.OO,W,7.0
QIZTID,Cc1cccc(N(O)C(=O)c2ccccc2)c1.Cc1cccc(N(O)C(=O)c2ccccc2)c1.O.OO,W,7.0
QIZTOJ,O.O=C(C=Cc1ccccc1)N(O)c1ccccc1.O=C(C=Cc1ccccc1)N(O)c1ccccc1.OO,W,7.0
QODGOI,C#O.C#O.C#O.C#O.C#O.Cc1cc(C)c(P=C=CC(C)(C)C)c(C)c1,W,6.0
QODHAV,C#O.C#O.C#O.C#O.C#O.C[Si](C)(C)C(P=C=CC12CC3CC(CC(C3)C1)C2)[Si](C)(C)C,W,6.0
QODHEZ,C#O.C#O.C#O.C#O.C#O.CC(C)c1cc(C(C)C)c(P=C=CC(C)(C)C)c(C(C)C)c1,W,6.0
QODHOJ,C#O.C#O.C#O.C#O.C#O.CC(C)(C)C=C=Pc1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C,W,6.0
QODHUP,C#O.C#O.C#O.C#O.C#O.CC(C)(C)C=C=PC([Si](C)(C)C)[Si](C)(C)C,W,6.0
QODVIR,C#O.CC#CC.CC1(C)COC(c2ccccc2S)=N1.CC1(C)COC(c2ccccc2S)=N1,W,7.0
QODVOX,C#O.C(#Cc1ccccc1)c1ccccc1.CC1(C)COC(c2ccccc2S)=N1.CC1(C)COC(c2ccccc2S)=N1,W,7.0
