smiles,Name,LigandSmiles,Metal,bondorder,oxidation_states,classification
O=[C]->[W]1(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n2ccccc2-c2ccccn->12,FOHXUW,C#O.C#O.C#O.C#O.c1ccc(c2ccccn2)nc1,W,6.0,0,6
CN(C)c1nc(-c2ccccc2)p(C[Si](C)(C)C)(->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)n1,POSFUZ,C#O.C#O.C#O.C#O.C#O.CN(C)C1=NP(C[Si](C)(C)C)C(c2ccccc2)=N1,W,6.0,0,6
C[Si](C)(C)[Si]1(C)C2(c3ccccc3)->[Fe]34(<-[C]=O)(<-[C]=O)(<-[C]=O)<-C=2(c2ccccc2)C->3(c2ccccc2)=C->41c1ccccc1,WODWOC,C#O.C#O.C#O.C[Si](C)(C)[Si]1(C)C(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1,Fe,7.0,0,6
CC1(C)C(=O)C(C)(C)S1->[Cr](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,CTMTCR,C#O.C#O.C#O.C#O.C#O.CC1(C)SC(C)(C)C1=O,Cr,6.0,0,6
Cc1cc(C)c(N2C=CN(Cc3ccccn3)[C]2->[Fe](<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)c(C)c1,UTITOI,C#O.C#O.C#O.C#O.Cc1cc(C)c(N2C=CN(Cc3ccccn3)C2)c(C)c1,Fe,5.0,0,6
CN(C)C(=CC(C#[C-]->[W](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O)=[N+](C)C)N(C)C,ZUXGII,C#O.C#O.C#O.C#O.C#O.C=C=C(C=C(N(C)C)N(C)C)N(C)C,W,6.0,0,6
Cc1c(C)c(C)p(-c2ccccc2)(->[Mo](<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-p2(-c3ccccc3)c(C)c(C)c(C)c2C)c1C,YIQCAC,C#O.C#O.C#O.C#O.CC1=C(C)P(c2ccccc2)C(C)=C1C.CC1=C(C)P(c2ccccc2)C(C)=C1C,Mo,6.0,0,6
CC[B+]1C2(C)[H]->[W]<-1<-234(<-[C]=O)(<-[C]=O)<-n1c(C)cc(C)n1[BH-](n1c(C)cc(C)n->31)n1c(C)cc(C)n->41,XANJOL,C#O.C#O.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.[H]C(C)BCC,W,7.0,0,6
[H]C1=C->[W]<-1234(<-[C]=O)(<-[C]=O)(<-[C]=O)<-C1=C->2C2CC1C->3=C->42,JAFRUD,C#O.C#O.C#O.C1=CC2C=CC1C2.C=C,W,9.0,0,6
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O[C]1[C@]2(C)[CH]3->[Cr]<-1(<-[C]=O)(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[CH]3O[C@@H]2C(C)(C)C,INUMAF,C#O.C#O.C#O.C#O.CC1CCC(C(C)C)C(OCC2(C)C=COC2C(C)(C)C)C1,Cr,7.0,0,6
