smiles,Name,LigandSmiles,Metal,bondorder,oxidation_states,classification
O=[C]->[Mn+]12(<-[C]=O)(<-[C]=O)<-n3c(NP->1(c1ccccc1)c1ccccc1)cccc3NP->2(c1ccccc1)c1ccccc1,SOHJAA,C#O.C#O.C#O.c1ccc(P(Nc2cccc(NP(c3ccccc3)c3ccccc3)n2)c2ccccc2)cc1,Mn,6.0,+1,0
CCn1ccn(->[Ag+]<-n2ccn(CC)c2)c1,APIRAU,CCn1ccnc1.CCn1ccnc1,Ag,2.0,+1,0
c1ccc(CCN23->[Cu+]<-n4ccccc4CCN(CCC2)CC3)cc1,JOPZUL,c1ccc(CCN2CCCN(CCc3ccccn3)CC2)cc1,Cu,3.0,+1,0
C1c2ccccn2->[Cu+]2(<-N=1C1CCCCC1)<-N(=Cc1ccccn->21)C1CCCCC1,XUDLOY,C(=NC1CCCCC1)c1ccccn1.C(=NC1CCCCC1)c1ccccn1,Cu,4.0,+1,0
C1=CN(C2CCCCC2)[C](->[Au+]<-[C]2N(C3CCCCC3)C=CN2C2CCCCC2)N1C1CCCCC1,XALFAU,C1=CN(C2CCCCC2)CN1C1CCCCC1.C1=CN(C2CCCCC2)CN1C1CCCCC1,Au,2.0,+1,0
CC(C)c1cccc(C(C)C)c1N1[C](->[Au+]<-[O-]c2c(F)cccc2F)[C@]2(CC1(C)C)[C@@H]1C[C@H]3C[C@H](C[C@@H]2C3)C1,QANBIT,CC(C)c1cccc(C(C)C)c1N1CC2(CC1(C)C)C1CC3CC(C1)CC2C3.Oc1c(F)cccc1F,Au,2.0,+1,0
Cc1cc(C)c(N2C=CN(CCCOc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)[C]2->[Au+]<-[Br-])c(C)c1,PALSUT,Br.Cc1cc(C)c(N2C=CN(CCCOc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)C2)c(C)c1,Au,2.0,+1,0
O=[C]->[Cu+]1(<-[Cl-])<-n2ccccc2Nc2ccccn->12,RUJBUT,C#O.Cl.c1ccc(Nc2ccccn2)nc1,Cu,4.0,+1,0
CC(C)N[C](Nc1ccccc1)->[Re+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,VOWFOC,Br.C#O.C#O.C#O.C#O.CC(C)NC=[NH]c1ccccc1,Re,6.0,+1,0
C[Si](C)(C)CC(C[Si](C)(C)C)P(->[Au+]<-[Cl-])(c1ccccc1)c1ccccc1-c1ccccc1,HINGET,C[Si](C)(C)CC(C[Si](C)(C)C)P(c1ccccc1)c1ccccc1-c1ccccc1.Cl,Au,2.0,+1,0
[O-][N+]([O-])=O->[Ag+]<-n1c(-c2c3ccccc3cc3ccccc23)cccc1-c1c2ccccc2cc2ccccc12,HOVGOQ,O=N(O)O.c1ccc2c(c1)cc1ccccc1c2c1cccc(c2c3ccccc3cc3ccccc32)n1,Ag,3.0,+1,0
CC#N->[Cu+]1(<-N#CC)<-[C]2N(c3ccccc3)N=C3C=Cc4c(C)cc(C)n->1c4N32,HEYMIJ,CC#N.CC#N.Cc1cc(C)c2c(n1)N1CN(c3ccccc3)N=C1C=C2,Cu,4.0,+1,0
CCOc1ccc(C2=C(c3cc(OC)c(OC)c(OC)c3)N(C)[C](->[Au+]<-[Cl-])N2C)cc1,KATRUU,CCOc1ccc(C2=C(c3cc(OC)c(OC)c(OC)c3)N(C)CN2C)cc1.Cl,Au,2.0,+1,0
O=C1c2cccc3C(=O)P(c4ccccc4)(c4ccccc4)->[Rh+](<-[Cl-])(<-n23)<-P1(c1ccccc1)c1ccccc1,MOWWUS,Cl.O=C(c1cccc(C(=O)P(c2ccccc2)c2ccccc2)n1)P(c1ccccc1)c1ccccc1,Rh,4.0,+1,0
CC(C)c1cccc(C(C)C)c1N1[C](->[Au+]<-[NH-]c2c(F)c(F)c(F)c(F)c2F)[C@]2(CC1(C)C)[C@@H]1C[C@H]3C[C@H](C[C@@H]2C3)C1,QANBAL,CC(C)c1cccc(C(C)C)c1N1CC2(CC1(C)C)C1CC3CC(C1)CC2C3.Nc1c(F)c(F)c(F)c(F)c1F,Au,2.0,+1,0
CCP(CC)(CC)->[Au+]<-[S-]C([S-])=[O+]C1CCCCC1,YASJOR,CCP(CC)CC.S=C(S)OC1CCCCC1,Au,2.0,+1,0
Clc1ccccc1P(c1ccccc1)(c1ccccc1)->[Cu+](<-[Cl-])<-P(c1ccccc1)(c1ccccc1)c1ccccc1Cl,EVEZUC,Cl.Clc1ccccc1P(c1ccccc1)c1ccccc1.Clc1ccccc1P(c1ccccc1)c1ccccc1,Cu,3.0,+1,0
CN1CCN(C)C1=N1Cc2ccccc2N(=C2N(C)CCN2C)->[Cu+]<-1<-[Br-],CORREJ,Br.CN1CCN(C)C1=NCc1ccccc1N=C1N(C)CCN1C,Cu,3.0,+1,0
CC(C)(C)[N+]#[C-]->[Au+]<-O=[N+]([O-])[O-],LOTSAO,C#NC(C)(C)C.O=[N+]([O-])O,Au,2.0,+1,0
CCP(CC)(CC)->[Au+]<-[C-]#CC(=O)c1ccc2ccc3cccc4ccc1c2c34,NIBMIX,C#CC(=O)c1ccc2ccc3cccc4ccc1c2c34.CCP(CC)CC,Au,2.0,+1,0
CCP(CC)(CC)->[Au+]<-[C-]#Cc1ccc2ccc3cccc4ccc1c2c34,NIBMAP,C#Cc1ccc2ccc3cccc4ccc1c2c34.CCP(CC)CC,Au,2.0,+1,0
CSc1ccn2->[Mn+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n3ccccc3-c2c1,JIRWUF,Br.C#O.C#O.C#O.CSc1ccnc(c2ccccn2)c1,Mn,6.0,+1,0
CC#N->[Rh+]12<-n3c(CP->1(c1ccccc1)c1ccccc1)cccc3CP->2(c1ccccc1)c1ccccc1,PAZNEJ,CC#N.c1ccc(P(Cc2cccc(CP(c3ccccc3)c3ccccc3)n2)c2ccccc2)cc1,Rh,4.0,+1,0
CCP(CC)(CC)->[Cu+](<-[Se-]c1ccccc1)(<-P(CC)(CC)CC)<-P(CC)(CC)CC,ABOFAA,CCP(CC)CC.CCP(CC)CC.CCP(CC)CC.[SeH]c1ccccc1,Cu,4.0,+1,0
[H]c1cc(C(F)(F)F)cc[c-]1->[Au+]<-[C-]#[N+]c1ccc(OC)cc1,EMIBUZ,C#Nc1ccc(OC)cc1.FC(F)(F)c1ccccc1,Au,2.0,+1,0
[H]c1cc(C(F)(F)F)cc[c-]1->[Au+]<-[C-]#[N+]c1ccccc1,EMICEK,C#Nc1ccccc1.FC(F)(F)c1ccccc1,Au,2.0,+1,0
Cc1cc(C)c(N2C(=O)C(C)(C)C(=O)N(c3c(C)cc(C)cc3C)[C]2->[Ir+](<-[Cl-])(<-[C]=O)<-[C]=O)c(C)c1,DAMFUU,C#O.C#O.Cc1cc(C)c(N2CN(c3c(C)cc(C)cc3C)C(=O)C(C)(C)C2=O)c(C)c1.Cl,Ir,4.0,+1,0
CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)[C]1->[Cu+]<-[B+]1O[C-]2[CH+][CH+][CH-][CH-][C-]2O1,XODSER,B1Oc2ccccc2O1.CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)C1,Cu,2.0,+1,0
[Br-]->[Au+]<-P(c1ccccc1)(c1ccccc1)c1ccccc1,FOLKEW,Br.c1ccc(P(c2ccccc2)c2ccccc2)cc1,Au,2.0,+1,0
CC(C)[C@@H]1CC[C@@H](C)C[C@@]12COC1=C3OC[C@@]4(C[C@H](C)CC[C@H]4C(C)C)N3[C](->[Au+]<-[Cl-])N12,ZAKFAV,CC1CCC(C(C)C)C2(COC3=C4OCC5(CC(C)CCC5C(C)C)N4CN32)C1.Cl,Au,2.0,+1,0
Cc1cc(C2=C(c3cc(C)sc3C)N(C)[C](->[Ag+]<-[Cl-])N2C)c(C)s1,XOWTOT,Cc1cc(C2=C(c3cc(C)sc3C)N(C)CN2C)c(C)s1.Cl,Ag,2.0,+1,0
CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)[C]1->[Au+]<-[O-]OC(C)(C)C,TINBID,CC(C)(C)OO.CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)C1,Au,2.0,+1,0
c1ccc2N3CCn4cccn4->[Cu+](<-[O-]c2c1)<-n1cccn1CC3,DOPXOV,Oc1ccccc1N(CCn1cccn1)CCn1cccn1,Cu,4.0,+1,0
CN(C)c1ccc(-c2n3ccccc3c3-c4ccccn4->[Re+](<-[Cl-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n32)cc1,YOCDEA,C#O.C#O.C#O.CN(C)c1ccc(C2=NC(c3ccccn3)=C3C=CC=CN23)cc1.Cl,Re,6.0,+1,0
CCP(CC)(CC)->[Rh+](<-[c-]1ccccc1OC)(<-P(CC)(CC)CC)<-P(CC)(CC)CC,VOMJOX,CCP(CC)CC.CCP(CC)CC.CCP(CC)CC.COc1ccccc1,Rh,4.0,+1,0
Cc1ccc(-c2cc(-c3ccccn3)n3->[Mn+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n4ccccc4-c3c2)cc1,DUXWOK,Br.C#O.C#O.C#O.Cc1ccc(c2cc(c3ccccn3)nc(c3ccccn3)c2)cc1,Mn,6.0,+1,0
CC(C)N1[C]([C]([C]2N(C)c3ccccc3N2C(C)C)->[Rh+](<-[Cl-])(<-[C]=O)<-[C]=O)N(C)c2ccccc21,SIFCER,C#O.C#O.CC(C)N1C(=C=C2N(C)c3ccccc3N2C(C)C)N(C)c2ccccc21.Cl,Rh,4.0,+1,0
CC(=O)[CH2-]->[Au+]<-[C]1N(c2c(C(C)C)cccc2C(C)C)CCN1c1c(C(C)C)cccc1C(C)C,HOTPIR,CC(C)=O.CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)C1,Au,2.0,+1,0
[Cl-]->[Au+]<-p1(-c2ccc3ccccc3c2-c2cccc3ccccc23)oc2ccccc2c2ccccc2o1,FAYHAR,Cl.c1ccc2c(-c3c(-p4oc5ccccc5c5ccccc5o4)ccc4ccccc34)cccc2c1,Au,2.0,+1,0
[O-][N+]([O-])=O->[Ag+](<-S=c1[nH]cn[nH]1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,GISHUN,O=[N+]([O-])O.S=c1[nH]cn[nH]1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,Ag,4.0,+1,0
CC#N->[Rh+](<-N#CC)(<-P(C)(c1ccccc1)c1ccccc1)<-P(C)(c1ccccc1)c1ccccc1,WAYSUM,CC#N.CC#N.CP(c1ccccc1)c1ccccc1.CP(c1ccccc1)c1ccccc1,Rh,4.0,+1,0
O=[C]->[Re+]1(<-[Br-])(<-[C]=O)(<-[C]=O)<-n2c(-c3[nH]c4ccccc4n->13)[nH]c1ccccc12,FAWNAT,Br.C#O.C#O.C#O.c1ccc2c(c1)N=C(C1=Nc3ccccc3N1)N2,Re,6.0,+1,0
CCN1(CC)Cc2cccc3CP(C(C)(C)C)(C(C)(C)C)->[Co+]<-1(<-[Cl-])<-n23,NUCSOV,CCN(CC)Cc1cccc(CP(C(C)(C)C)C(C)(C)C)n1.Cl,Co,4.0,+1,0
Cc1cp(->[Au+]<-[Cl-])(-c2ccccc2)cc1C,KEGVAT,Cc1cp(-c2ccccc2)cc1C.Cl,Au,2.0,+1,0
CC(C)(C)[c-]12->[Rh+]34567(<-C8=C->3C=CC(P->4(C3C=CC=CC=C3)C3C=CC=CC=C3)C=C8)<-c(c->5c->61)c->72,HATVAZ,C1=CC=CC(P(C2C=CC=CC=C2)C2C=CC=CC=C2)C=C1.CC(C)(C)c1cccc1,Rh,8.0,+1,0
CC#N->[Cu+]12<-n3c(C(F)(F)F)c4c(F)c(F)c(F)c(F)c4n3[BH-](n3c4c(F)c(F)c(F)c(F)c4c(C(F)(F)F)n->13)n1c3c(F)c(F)c(F)c(F)c3c(C(F)(F)F)n->21,SOHWUI,CC#N.Fc1c(F)c(F)c2c(c1F)C(C(F)(F)F)=NN2[BH](N1N=C(C(F)(F)F)c2c(F)c(F)c(F)c(F)c21)N1N=C(C(F)(F)F)c2c(F)c(F)c(F)c(F)c21,Cu,4.0,+1,0
CC#N->[Cu+]1(<-N#CC)<-n2ccccc2-c2ccn(Cc3ccccc3)n->12,WEDKAS,C1=C(c2ccccn2)NN(Cc2ccccc2)=C1.CC#N.CC#N,Cu,4.0,+1,0
CC(C)c1cccc(C(C)C)c1N1[C](->[Cu+]<-[O-]c2c(F)cccc2F)[C@]2(CC1(C)C)[C@@H]1C[C@H]3C[C@H](C[C@@H]2C3)C1,QANBUF,CC(C)c1cccc(C(C)C)c1N1CC2(CC1(C)C)C1CC3CC(C1)CC2C3.Oc1c(F)cccc1F,Cu,2.0,+1,0
[H]c1ncc(F)[c-](->[Rh+](<-P(CC)(CC)CC)(<-P(CC)(CC)CC)<-P(CC)(CC)CC)c1F,GULXOC,CCP(CC)CC.CCP(CC)CC.CCP(CC)CC.Fc1cncc(F)c1,Rh,4.0,+1,0
CC(Nc1nnc(-c2c(P(->[Au+]<-[Cl-])(c3ccccc3)c3ccccc3)ccc3ccccc23)c2ccccc12)c1ccccc1,KUNGUW,CC(Nc1nnc(-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)c2ccccc12)c1ccccc1.Cl,Au,2.0,+1,0
O=[N+]1[O-]->[Cu+]2(<-C=C->2C[n+]2cccc3ccccc32)(<-O=[N+]([O-])[O-])<-[O-]1,LADQUE,C=CCn1cccc2ccccc21.O=[N+]([O-])O.O=[N+]([O-])O,Cu,4.0,+1,0
CC#N->[Ag+]1<-n2c(C)cc(-c3ccc(OC)cc3)cc2-c2cc(-c3ccc(OC)cc3)cc(C)n->12,WUWYAO,CC#N.COc1ccc(-c2cc(C)nc(-c3cc(-c4ccc(OC)cc4)cc(C)n3)c2)cc1,Ag,3.0,+1,0
CC(C)(C)Cc1ccc2ccc3ccc(CC(C)(C)C)n4->[Cu+](<-[Cl-])<-n1c2c34,ZACGOZ,CC(C)(C)Cc1ccc2ccc3ccc(CC(C)(C)C)nc3c2n1.Cl,Cu,3.0,+1,0
[H]CN1CCNC1=S->[Au+]<-S=C1NCCN1C[H],ESAQAQ,CN1CCNC1=S.CN1CCNC1=S,Au,2.0,+1,0
CC#N->[Cu+]1<-N(=C(C)C=C(C)[N-]->1C(C)c1ccccc1)C(C)c1ccccc1,TULZEG,CC#N.CC(=CC(C)=NC(C)c1ccccc1)NC(C)c1ccccc1,Cu,3.0,+1,0
C[N+]1=N[N+](Cc2ccccc2)=[C-](->[Au+]<-[Cl-])C1=C1C=CC(=[N+]([O-])[O-])C=C1,KIYXEX,Cl.Cn1nn(Cc2ccccc2)cc1c1ccc([N+](=O)[O-])cc1,Au,2.0,+1,0
CC1c2ccccn2->[Re+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-N=1NC(=O)c1ccccc1O,VUDVEW,Br.C#O.C#O.C#O.CC(=NNC(=O)c1ccccc1O)c1ccccn1,Re,6.0,+1,0
Cc1cc(C(F)(F)F)n2->[Ag+]3(<-n4c(C(F)(F)F)cc(C)n4[BH-](n12)n1c(C)cc(C(F)(F)F)n->31)<-P(C)(c1ccccc1)c1ccccc1,VAKXEN,CP(c1ccccc1)c1ccccc1.Cc1cc(C(F)(F)F)nn1[BH](n1nc(C(F)(F)F)cc1C)n1nc(C(F)(F)F)cc1C,Ag,4.0,+1,0
C1=CN(Cc2ccccc2)[C](->[Au+]<-[C]2N(Cc3ccccc3)C=CN2Cc2ccccc2)N1Cc1ccccc1,YAMMUW,C1=CN(Cc2ccccc2)CN1Cc1ccccc1.C1=CN(Cc2ccccc2)CN1Cc1ccccc1,Au,2.0,+1,0
CC1=CC(C)=N(c2c(C)cc(C)cc2C)->[Cu+]2<-n3ccccc3C[N-]->21,KASZUC,CC(=CC(C)=Nc1c(C)cc(C)cc1C)NCc1ccccn1,Cu,3.0,+1,0
CC#N->[Ag+]1<-n2c(C)cccc2-c2cccc(C)n->12,TIFZOY,CC#N.Cc1cccc(-c2cccc(C)n2)n1,Ag,3.0,+1,0
[O-][N+]([O-])=O->[Ag+]1<-C2=C->1c1ccccc1OCCOCCOCCOCCOc1ccccc12,TUQVUW,C1=Cc2ccccc2OCCOCCOCCOCCOc2ccccc21.O=[N+]([O-])O,Ag,6.0,+1,0
CP(->[Au+]<-[C-]#Cc1ccc(-c2ccccn2)nc1)(c1ccccc1)c1ccccc1,GORRIQ,C#Cc1ccc(-c2ccccn2)nc1.CP(c1ccccc1)c1ccccc1,Au,2.0,+1,0
O=[C]->[Re+]1(<-[Cl-])(<-[C]=O)(<-[C]=O)<-S=P(N=P(CP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(Oc1ccccc1)Oc1ccccc1,LUVZUZ,C#O.C#O.C#O.Cl.S=P(N=P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(Oc1ccccc1)Oc1ccccc1,Re,6.0,+1,0
[Cl-]->[Au+]<-P(c1ccncc1)(c1ccncc1)c1ccncc1,LIYVUN,Cl.c1cc(P(c2ccncc2)c2ccncc2)ccn1,Au,2.0,+1,0
CP(->[Au+]<-[Si-](c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,VANXIR,CP(c1ccccc1)c1ccccc1.c1ccc([SiH](c2ccccc2)c2ccccc2)cc1,Au,2.0,+1,0
CP(c1ccccc1)(c1ccccc1)->[Cu+]12<-S3CCS->1Cc1ccccc1CS->2CC3,KILCAJ,CP(c1ccccc1)c1ccccc1.c1ccc2c(c1)CSCCSCCSC2,Cu,4.0,+1,0
[O-]C(O)=C1C=CC(=S->[Au+]<-[C]2N(Cc3ccccc3)C(c3ccccc3)=C(c3ccccc3)N2Cc2ccccc2)C=C1,NOMJAD,O=C(O)c1ccc(S)cc1.c1ccc(CN2CN(Cc3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1,Au,2.0,+1,0
CC(C)(C)[N+]#[C-]->[Rh+]1(<-[Cl-])<-n2ccc(C(C)(C)C)cc2-c2cc(C(C)(C)C)ccn->12,MUGZIY,C#NC(C)(C)C.CC(C)(C)c1ccnc(c2cc(C(C)(C)C)ccn2)c1.Cl,Rh,4.0,+1,0
CC(C)(C)[S-]->[Au+]<-P(C)(c1ccccc1)c1ccccc1,REXYOJ,CC(C)(C)S.CP(c1ccccc1)c1ccccc1,Au,2.0,+1,0
CC(C)N(C(=O)c1ccccn1->[Ag+](<-O=[N+]([O-])[O-])<-n1ccccc1C(=O)N(C(C)C)C(C)C)C(C)C,FAQSEY,CC(C)N(C(=O)c1ccccn1)C(C)C.CC(C)N(C(=O)c1ccccn1)C(C)C.O=N(O)O,Ag,5.0,+1,0
CCN1C(c2ccccc2)=C(c2ccccc2)N(CC)[C]1->[Au+]<-S=C1C=CC(=C([O-])O)C=C1,NOMJEH,CCN1CN(CC)C(c2ccccc2)=C1c1ccccc1.O=C(O)c1ccc(S)cc1,Au,2.0,+1,0
CC#N->[Cu+]1<-N2(C(C)(C)C)CCN(C3CC(C)CCC3C(C)C)CCN->1(C(C)(C)C)CC2,TINBIE,CC#N.CC1CCC(C(C)C)C(N2CCN(C(C)(C)C)CCN(C(C)(C)C)CC2)C1,Cu,4.0,+1,0
CC1CC(C)=N(c2c(Cl)cccc2Cl)->[Re+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-N=1c1c(Cl)cccc1Cl,JUZMIC,Br.C#O.C#O.C#O.CC(CC(C)=Nc1c(Cl)cccc1Cl)=Nc1c(Cl)cccc1Cl,Re,6.0,+1,0
CC(C)c1cccc(C(C)C)c1N1CCCCN(c2c(C(C)C)cccc2C(C)C)[C]1->[Cu+]<-[Br-],VUBZEY,Br.CC(C)c1cccc(C(C)C)c1N1CCCCN(c2c(C(C)C)cccc2C(C)C)C1,Cu,2.0,+1,0
O=P(CP(->[Au+]<-[Cl-])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ZIZHIB,Cl.O=P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,Au,2.0,+1,0
CC#N->[Rh+]12<-n3ccccc3-c3cccc(-c4ccccn->14)n->23,ZATSAQ,CC#N.c1ccc(-c2cccc(-c3ccccn3)n2)nc1,Rh,4.0,+1,0
Cc1ccc([As](->[Au+]<-[Cl-])(c2ccc(C)cc2)c2ccc(C)cc2)cc1,QAJLUL,Cc1ccc([As](c2ccc(C)cc2)c2ccc(C)cc2)cc1.Cl,Au,2.0,+1,0
CN1C=CN(Cc2ccc(-c3ccccn3)nc2)[C]1->[Au+]<-[Cl-],AMEBEB,CN1C=CN(Cc2ccc(-c3ccccn3)nc2)C1.Cl,Au,2.0,+1,0
CCP(CC)(CC)->[Au+]<-[S-]c1nc(=[NH2+])cc[n-]1,XIYNOI,CCP(CC)CC.Nc1ccnc(S)n1,Au,2.0,+1,0
[H][CH-](CCC)->[Au+]<-[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)C[C@@]12C[C@H](C)CC[C@H]2C(C)C,GIHDIM,CC1CCC(C(C)C)C2(C1)CN(c1c(C(C)C)cccc1C(C)C)C(C)(C)C2.CCCC,Au,2.0,+1,0
CC(C)c1cccc(C(C)C)c1N1[C](->[Au+]<-P#C[O-])[C@]2(C[C@H](C)CC[C@H]2C(C)C)CC1(C)C,XACTAZ,CC1CCC(C(C)C)C2(C1)CN(c1c(C(C)C)cccc1C(C)C)C(C)(C)C2.O=C=P,Au,2.0,+1,0
CC(C)N1c2ccccc2N(C(C)C)[C]1->[Rh+]123(<-[Br-])<-C4=C->1CCC->2=C->3CC4,ITUHEL,Br.C1=CCCC=CCC1.CC(C)N1CN(C(C)C)c2ccccc21,Rh,6.0,+1,0
COc1cc2oc(=O)cc(CN3Cc4ccccn4->[Ag+](<-O=[N+]([O-])[O-])<-n4ccccc4C3)c2cc1OC,OPUHIS,COc1cc2c(cc1OC)C(CN(Cc1ccccn1)Cc1ccccn1)=CC(=O)O2.O=N(O)O,Ag,5.0,+1,0
O=[C]->[Re+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n1ccc2c(c1)C(=O)c1ccncc1C2=O,OHUMOT,Br.C#O.C#O.C#O.C#O.O=C1c2ccncc2C(=O)c2ccncc21,Re,6.0,+1,0
CCN1C=CN(C)[C]1->[Ag+]<-[C]1N(C)C=CN1CC,BAHZAN,CCN1C=CN(C)C1.CCN1C=CN(C)C1,Ag,2.0,+1,0
CCN1C=CN(C)[C]1->[Au+]<-[C]1N(C)C=CN1CC,YERFEH,CCN1=CN(C)C=C1.CCN1=CN(C)C=C1,Au,2.0,+1,0
CP(c1ccccc1)(c1ccccc1)->[Cu+]1(<-n2cccn2[BH2-]n2cccn->12)<-P(C)(c1ccccc1)c1ccccc1,XAJGIY,CP(c1ccccc1)c1ccccc1.CP(c1ccccc1)c1ccccc1.[BH2](n1cccn1)n1cccn1,Cu,4.0,+1,0
CC#N->[Ag+]1<-n2c(-c3ccc4ccccc4n->13)ccc1ccccc12,MAYBIY,CC#N.c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,Ag,3.0,+1,0
[H]C1=C->[Ir+]<-1(<-[Cl-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,CETPIR,C=C.Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,Ir,5.0,+1,0
CC1=N->[Re+](<-[Cl-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-n2c(C)cc(C)n21,KURNOC,C#O.C#O.C#O.CC(=N)N1N=C(C)C=C1C.Cl,Re,6.0,+1,0
[Br-]->[Cu+]12<-n3c4c(CS->1c1ccccc1)cccc4cc1cccc(CS->2c2ccccc2)c13,KOJPEH,Br.c1ccc(SCc2cccc3cc4cccc(CSc5ccccc5)c4nc23)cc1,Cu,4.0,+1,0
O=[C]->[Re+]1(<-[Cl-])(<-[C]=O)(<-[C]=O)<-n2ccccc2-c2cc(-c3ccccc3)cc(-c3ccccc3)n->12,KOFWOU,C#O.C#O.C#O.Cl.c1ccc(c2cc(c3ccccc3)nc(c3ccccn3)c2)cc1,Re,6.0,+1,0
CCP(CC)(CC)->[Cu+](<-[c-]1c(-c2ccccc2)cccc1-c1ccccc1)<-P(CC)(CC)CC,OSELUV,CCP(CC)CC.CCP(CC)CC.c1ccc(-c2cccc(-c3ccccc3)c2)cc1,Cu,3.0,+1,0
Cc1ccn([B-]23n4ccc(C)n4->[Ag+](<-n4c(C)ccn42)(<-n2c(C)ccn23)<-P(C)(c2ccccc2)c2ccccc2)n1,SIQTAN,CP(c1ccccc1)c1ccccc1.Cc1ccn(B(n2ccc(C)n2)(n2ccc(C)n2)n2ccc(C)n2)n1,Ag,3.0,+1,0
[H]CC(C)(C)N->[Au+]<-P(C)(c1ccccc1)c1ccccc1,YITVAY,CC(C)(C)N.CP(c1ccccc1)c1ccccc1,Au,2.0,+1,0
CC#N->[Ag+]12<-n3c(C)cccc3-c3cccc(-c4cccc(C)n->14)n->23,TIRMOZ,CC#N.Cc1cccc(-c2cccc(-c3cccc(C)n3)n2)n1,Ag,4.0,+1,0
C/C=C/C=C/COc1cc2c(cc1OCCCCCC)N(C)[C](->[Au+]<-[Cl-])N2C,KOHSEI,CCCCCCOc1cc2c(cc1OCCCCCC)N(C)CN2C.Cl,Au,2.0,+1,0
O=[C]->[Rh+](<-[Cl-])(<-[C]=O)<-n1ccccc1,NOMQAH,C#O.C#O.Cl.c1ccncc1,Rh,4.0,+1,0
[Cl-]->[Ag+]<-P(C1C=CC=CC=C1)(C1C=CC=CC=C1)C1C=CC=CC=C1,IPEPAU,C1=CC=CC(P(C2C=CC=CC=C2)C2C=CC=CC=C2)C=C1.Cl,Ag,2.0,+1,0
O=[C]->[Mn+]12345(<-[Br-])(<-[C]=O)<-c67c->18c->2(c->31c->4(c->56CCC7)CCC1)CCC8,MOKROT,Br.C#O.C#O.C1Cc2c3c(c4c(c2C1)CCC4)CCC3,Mn,9.0,+1,0
CN1[C](->[Ag+]<-[Cl-])N(C)[C@H]2[C@@H]1[C@@H]1C[C@H]2c2ccccc21,SIZHUH,CN1CN(C)C2C3CC(c4ccccc43)C21.Cl,Ag,2.0,+1,0
[H]CCN(CC)->[Au+]<-N(CC)CC[H],DIWXIT,CCNCC.CCNCC,Au,2.0,+1,0
CC#N->[Ag+]1<-n2cc(C)ccc2-c2ccc(C)cn->12,AWENEW,CC#N.Cc1ccc(-c2ccc(C)cn2)nc1,Ag,3.0,+1,0
c1ccc(-c2cccc3CN4Cc5cccc(-c6ccccc6)n5->[Cu+](<-n32)<-n2c(C4)cccc2-c2ccccc2)cc1,YUGLOB,c1ccc(-c2cccc(CN(Cc3cccc(-c4ccccc4)n3)Cc3cccc(-c4ccccc4)n3)n2)cc1,Cu,4.0,+1,0
CC#N->[Cu+]1<-N(=C(N=C([N-]->1c1c(F)c(F)c(F)c(F)c1F)C(F)(F)F)C(F)(F)F)c1c(F)c(F)c(F)c(F)c1F,VIJYAR,CC#N.Fc1c(F)c(F)c(N=C(N=C(Nc2c(F)c(F)c(F)c(F)c2F)C(F)(F)F)C(F)(F)F)c(F)c1F,Cu,3.0,+1,0
