,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
2268,KUGQEK,C1C2CC3CC1CC(C2)C3c1cccc1.c1ccc(C2C3CC4CC(C3)CC2C4)c1,22,15,"[(9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 16), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21)]","[9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2269,KUGQIO,C1C2CC3CC1CC(C2)C3c1cccc1.CNc1ccc(Cl)cc1.c1ccc(C2C3CC4CC(C3)CC2C4)c1,22,9,"[(7, 9), (8, 9), (9, 10), (9, 25), (9, 11), (9, 12), (9, 13), (9, 24), (9, 26), (9, 27), (9, 28), (9, 39)]","[7, 8, 10, 25, 11, 12, 13, 24, 26, 27, 28, 39]","[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2270,KUGQOU,C1C2CC3CC1CC(C2)C3c1cccc1.C=C(CNc1ccc(C)cc1)c1ccccc1.c1ccc(C2C3CC4CC(C3)CC2C4)c1,22,11,"[(7, 11), (10, 11), (11, 12), (11, 27), (11, 13), (11, 14), (11, 15), (11, 26), (11, 28), (11, 29), (11, 30), (11, 41)]","[7, 10, 12, 27, 13, 14, 15, 26, 28, 29, 30, 41]","[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2271,KUGQUA,C1C2CC3CC1CC(C2)C3c1cccc1.CC(=C[Si](C)(C)C)CNc1ccc(C)cc1.c1ccc(C2C3CC4CC(C3)CC2C4)c1,22,15,"[(7, 15), (10, 15), (15, 16), (15, 31), (15, 17), (15, 18), (15, 19), (15, 30), (15, 32), (15, 33), (15, 34), (15, 45)]","[7, 10, 16, 31, 17, 18, 19, 30, 32, 33, 34, 45]","[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2272,KUGRAH,C1C2CC3CC1CC(C2)C3c1cccc1.CC=C(CNc1ccc(Cl)cc1)c1ccccc1.c1ccc(C2C3CC4CC(C3)CC2C4)c1,22,12,"[(1, 12), (4, 12), (12, 13), (12, 28), (12, 14), (12, 15), (12, 16), (12, 27), (12, 29), (12, 30), (12, 31), (12, 42)]","[1, 4, 13, 28, 14, 15, 16, 27, 29, 30, 31, 42]","[6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2273,KUHDOJ,CCCOc1c2cc(C(C)(C)C)cc1Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1OCCC)Cc1cc(C(C)(C)C)cc(c1O)C2.Cl.Cl,22,1,"[(0, 1), (1, 2), (1, 3), (1, 34), (1, 43), (1, 49)]","[0, 2, 3, 34, 43, 49]","[17, 17, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2274,KUHFAX,CC#N.COc1c2cc(C(C)(C)C)cc1Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)C2.Cl,22,1,"[(0, 1), (1, 2), (1, 51), (1, 33), (1, 39), (1, 46)]","[0, 2, 51, 33, 39, 46]","[17, 8, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2275,KUHFUP,O[Si](c1ccccc1)(c1ccccc1)c1ccccc1.O[Si](c1ccccc1)(c1ccccc1)c1ccccc1.c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,22,20,"[(0, 20), (20, 21), (20, 41), (20, 52), (20, 56), (20, 60)]","[0, 21, 41, 52, 56, 60]","[8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2276,KUHGAW,SS.c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,22,2,"[(0, 2), (1, 2), (2, 3), (2, 14), (2, 18), (2, 22)]","[0, 1, 3, 14, 18, 22]","[16, 16, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2277,KUJGEC,Cc1c(C)c(C)c(C)c1C.Cc1cc(C)cc(NC2=NCCC2)c1.NN(c1ccccc1)c1ccccc1,22,14,"[(8, 14), (10, 14), (14, 15), (14, 29), (14, 31), (14, 33), (14, 35), (14, 37)]","[8, 10, 15, 29, 31, 33, 35, 37]","[7, 7, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
