,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
10,AFIKEF,C1CCOC1.C1CCOC1.C1CCOC1.Cc1c(C)c(C)c([Si](C)(C)Nc2ccccc2)c1C,70,9,"[(1, 9), (2, 9), (4, 9), (6, 9), (7, 9), (9, 10), (9, 20), (9, 25), (9, 30)]","[1, 2, 4, 6, 7, 10, 20, 25, 30]","[6, 6, 6, 6, 6, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
11,AFIKIJ,C1CCOC1.Cc1c(C)c(C)c([Si](C)(C)Nc23c4c5c6c7c2[Yb]65743289%10%11(O3CCCC3)N(c3ccccc3)[Si](C)(C)c23c8(C)c9(C)c%10(C)c3%11C)c1C,70,17,"[(11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 18), (17, 37), (17, 28), (17, 29), (17, 31), (17, 33), (17, 35)]","[11, 12, 13, 14, 15, 16, 18, 37, 28, 29, 31, 33, 35]","[6, 6, 6, 6, 6, 6, 7, 8, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
12,AFIKOP,C1CCOC1.Cc1c(C)c(C)c([Si](C)(C)Nc2ccccc2[Yb]234567(N(c8ccccc8)[Si](C)(C)c28c3(C)c4(C)c5(C)c86C)N(c2ccccc2)=N7c2ccccc2)c1C,70,39,"[(26, 39), (30, 39), (31, 39), (33, 39), (35, 39), (37, 39), (39, 40), (39, 45), (39, 52), (39, 53)]","[26, 30, 31, 33, 35, 37, 40, 45, 52, 53]","[7, 6, 6, 6, 6, 6, 8, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
13,AFIKUV,C1CCOC1.C1CCOC1.Cc1c(C)c(C)c([Si](C)(C)Nc2ccccc2)c1C.OC1c2ccccc2c2ccccc21,70,9,"[(1, 9), (2, 9), (4, 9), (6, 9), (7, 9), (9, 10), (9, 24), (9, 34), (9, 39)]","[1, 2, 4, 6, 7, 10, 24, 34, 39]","[6, 6, 6, 6, 6, 8, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
14,AFILAC,C1CCOC1.Cc12c3(C)c4(C)c56c1(C)[Yb]2345(OC1(C2(O)c3ccccc3c3ccccc32)c2ccccc2c2ccccc21)(O1CCCC1)N(c1ccccc1)[Si]6(C)C.Cc1c(C)c(C)c([Si](C)(C)Nc2ccccc2)c1C,70,26,"[(25, 26), (26, 27), (26, 46), (26, 37), (26, 38), (26, 40), (26, 42), (26, 44)]","[25, 27, 46, 37, 38, 40, 42, 44]","[8, 7, 8, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
15,AGUCUB,C1CCOC1.C1CCOC1.CC(C)c1cc(C(C)C)c(-c2cccc(Nc3c(C(C)C)cccc3C(C)C)n2)c(C(C)C)c1.CC(C)c1cc(C(C)C)c(-c2cccc(Nc3c(C(C)C)cccc3C(C)C)n2)c(C(C)C)c1,70,33,"[(20, 33), (33, 34), (33, 68), (33, 73), (33, 78), (33, 40)]","[20, 34, 68, 73, 78, 40]","[7, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
16,AGUWAA,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,70,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
17,AHANON,C1CCOC1.C1CCOC1.CN(CC1=CC=CN1)CC1=CC=CN1.CN12CC3=CC=CN3[Yb]1(Cl)(Cl)(O1CCCC1)(O1CCCC1)N1C=CC=C1C2,70,10,"[(9, 10), (10, 11), (10, 12), (10, 26), (10, 31), (10, 18), (10, 25)]","[9, 11, 12, 26, 31, 18, 25]","[17, 17, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
18,AHIRUF,O.O.O.O.O.O.O.O,70,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8)]","[0, 2, 3, 4, 5, 6, 7, 8]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
19,AJEFOL,C1CCOC1.C1CCOC1.C1CCOC1.C1CCOC1.C1CCOC1.Cl.Cl,70,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 13), (1, 18), (1, 23)]","[0, 2, 3, 8, 13, 18, 23]","[17, 17, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
