,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
293,GEXYOX,NCCN(CCN)CCN.NCCN(CCN)CCN,82,7,"[(0, 7), (3, 7), (6, 7), (7, 8), (7, 11), (7, 14), (7, 17), (7, 20)]","[0, 3, 6, 8, 11, 14, 17, 20]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
294,GICFAB,CN(C)C=O.CN(C)C=O.CN(C)C=O.CN(C)C=O.O=C(O)c1c(I)c(I)c(C(=O)O)c(I)c1I.O=C(O)c1c(I)c(I)c(C(=O)O)c(I)c1I,82,5,"[(4, 5), (5, 6), (5, 22), (5, 38), (5, 43), (5, 48)]","[4, 6, 22, 38, 43, 48]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
295,GICKUZ,CNC(S)=NN=Cc1ccccn1.CNC(S)=NN=Cc1ccccn1,82,12,"[(4, 12), (11, 12), (12, 13), (12, 14), (12, 17), (12, 24)]","[4, 11, 13, 14, 17, 24]","[7, 7, 16, 16, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
296,GIFLIR,O=S1(=O)N=C(S)c2ccccc21.O=S1(=O)N=C(S)c2ccccc21.c1ccncc1,82,6,"[(5, 6), (6, 7), (6, 19)]","[5, 7, 19]","[16, 16, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
297,GIFLOX,O=S1(=O)N=C(S)c2ccccc21.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,82,6,"[(5, 6), (6, 7), (6, 21), (6, 18), (6, 32)]","[5, 7, 21, 18, 32]","[16, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
298,GIHCAF,I.I.[I-].[I-].[I-],82,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5)]","[0, 2, 3, 4, 5]","[53, 53, 53, 53, 53]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
299,GIKHOB,Br.Br.[Br-].[Br-],82,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[35, 35, 35, 35]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
300,GIKQOH,c1ccc(CNCCN(CCNCc2ccccc2)CCNCc2ccccc2)cc1,82,13,"[(2, 13), (5, 13), (13, 14), (13, 22)]","[2, 5, 14, 22]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
301,GIKQUN,O=C(CN(CC(=O)NCc1ccccc1)CC(=O)NCc1ccccc1)NCc1ccccc1.O=C(CN(CC(=O)NCc1ccccc1)CC(=O)NCc1ccccc1)NCc1ccccc1,82,4,"[(3, 4), (4, 5), (4, 29), (4, 8), (4, 12), (4, 32), (4, 35), (4, 46)]","[3, 5, 29, 8, 12, 32, 35, 46]","[8, 8, 8, 7, 8, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
302,GIMPUN,C1=CN(CCCN2C=CC(c3ccccn3)=N2)N=C1c1ccccn1.O=N(O)O.O=N(O)O,82,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 8), (3, 16), (3, 25), (3, 31)]","[2, 4, 5, 9, 8, 16, 25, 31]","[8, 8, 8, 7, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
